nb_processes;mb_per_process;read_time;write_time;overall_time;max_bandwidth
1;1;0.00026;0.00108;0.00134;747.8
2;1;0.00065;0.00166;0.00230;867.9
3;1;0.00118;0.00227;0.00345;868.4
4;1;0.00165;0.00482;0.00647;618.2
5;1;0.00163;0.00279;0.00442;1131.6
6;1;0.00138;0.00390;0.00528;1136.8
7;1;0.00274;0.00407;0.00681;1028.4
8;1;0.00196;0.00720;0.00916;873.6
1;2;0.00049;0.00134;0.00182;1096.6
2;2;0.00113;0.00353;0.00466;858.4
3;2;0.00148;0.00306;0.00454;1322.9
4;2;0.00158;0.00790;0.00948;844.2
5;2;0.00229;0.00701;0.00930;1075.5
6;2;0.02908;0.00940;0.03848;311.8
7;2;0.00287;0.00728;0.01015;1379.7
8;2;0.00263;0.01285;0.01549;1033.1
1;3;0.00087;0.00201;0.00288;1042.4
2;3;0.00150;0.00381;0.00531;1130.2
3;3;0.00196;0.00607;0.00804;1119.9
4;3;0.00192;0.00805;0.00997;1203.1
5;3;0.00287;0.01108;0.01395;1075.2
6;3;0.00354;0.01518;0.01872;961.5
7;3;0.00356;0.02064;0.02419;868.0
8;3;0.00536;0.01587;0.02123;1130.5
1;4;0.00116;0.00261;0.00377;1061.4
2;4;0.00158;0.00522;0.00681;1175.3
3;4;0.00252;0.00788;0.01040;1153.4
4;4;0.05576;0.01257;0.06834;234.1
5;4;0.06953;0.07053;0.14006;142.8
6;4;0.00357;0.01542;0.01899;1264.1
7;4;0.00398;0.01781;0.02179;1285.1
8;4;0.05093;0.01789;0.06882;465.0
1;5;0.00138;0.00336;0.00474;1054.1
2;5;0.00803;0.00690;0.01493;669.7
3;5;0.00237;0.00921;0.01158;1295.3
4;5;0.07033;0.07743;0.14776;135.4
5;5;0.01288;0.01537;0.02825;885.0
6;5;0.00568;0.02099;0.02668;1124.5
7;5;0.00590;0.02215;0.02805;1247.8
8;5;0.00772;0.01907;0.02679;1493.1
1;6;0.00168;0.00375;0.00544;1103.6
2;6;0.07508;0.00803;0.08311;144.4
3;6;0.00420;0.01253;0.01673;1076.2
4;6;0.09307;0.12354;0.21661;110.8
5;6;0.00500;0.02131;0.02631;1140.3
6;6;0.00672;0.02441;0.03113;1156.6
7;6;0.15367;0.02866;0.18233;230.4
8;6;0.00648;0.03434;0.04083;1175.7
1;7;0.00249;0.00620;0.00869;805.6
2;7;0.26974;0.00972;0.27947;50.1
3;7;0.00418;0.01590;0.02008;1045.8
4;7;0.00514;0.01764;0.02278;1229.2
5;7;0.00590;0.01676;0.02266;1544.6
6;7;0.00713;0.02562;0.03274;1282.7
7;7;0.00766;0.03315;0.04081;1200.8
8;7;0.00776;0.03994;0.04771;1173.8
1;8;0.00237;0.00490;0.00726;1101.2
2;8;0.09528;0.01420;0.10948;146.1
3;8;0.07234;0.11740;0.18975;126.5
4;8;0.12729;0.23615;0.36345;88.0
5;8;0.13503;0.46617;0.60119;66.5
6;8;0.08403;0.46795;0.55198;87.0
7;8;0.11882;0.75995;0.87877;63.7
8;8;0.09141;0.92904;1.02045;62.7
1;9;0.00684;0.00702;0.01385;649.6
2;9;0.07114;0.06725;0.13839;130.1
3;9;0.08599;0.16628;0.25227;107.0
4;9;0.08585;0.28164;0.36749;98.0
5;9;0.12977;0.63331;0.76309;59.0
6;9;0.09544;0.74002;0.83546;64.6
7;9;0.07440;1.00005;1.07445;58.6
8;9;0.12898;1.23902;1.36800;52.6
1;10;0.06958;0.00765;0.07724;129.5
